index,title,artist,spot_artist,spot_track,spot_album,track_number,release_date,track_uri,-index
283,Rescue Me,Horslips,Horslips,Rescue Me,Treasury - The Very Best of Horslips,24,2009-11-13,spotify:track:77VZsF3DsADs4WuEdHQmdZ,-283
NA,revolt into style,bill nelson,NA,NA,NA,NA,NA,NA,NA
19,Ridin' In My Car - Live,NRBQ,NRBQ,Ridin' In My Car - Live,High Noon: Highlights & Rarities From 50 Years,6,2016-11-11,spotify:track:6r90RAhCMqQ7rLT0XOyGNe,-19
59,Ridin' the Storm Out,REO Speedwagon,REO Speedwagon,Ridin' the Storm Out,Ridin' the Storm Out,1,1973-11-09,spotify:track:0SkmxNE5ydxiEN0hzJbMac,-59
375,Rip Her To Shreds - Remastered,Blondie,Blondie,Rip Her To Shreds - Remastered,Blondie (Remastered),8,1976-12-01,spotify:track:23yUwzz4CQ8yzQ65ATN6Ds,-375
22,Roadrunner (Once),Jonathan Richman & The Modern Lovers,Jonathan Richman & The Modern Lovers,Roadrunner (Once),Roadrunner: The Beserkley Collection,21,2004-07-19,spotify:track:1zMaPLfjieOq8DBr5xDkwF,-22
30,Rock 'N' Roll High School (Ed Stasium Version),Ramones,Ramones,Rock 'N' Roll High School (Ed Stasium Version),En el Disco-Bar,2,2018-06-25,spotify:track:0CcnRBQmFt3QZKdarFovFt,-30
3,"Rock And Roll, Hootchie Koo",Rick Derringer,Rick Derringer,"Rock And Roll, Hootchie Koo","Rock And Roll, Hootchie Koo",1,2015-02-24,spotify:track:5G7yKOQxh1RjxNeRdgoeW0,-3
291,Rock Lobster,The B-52's,The B-52's,Rock Lobster,The B-52's,4,1979-07-11,spotify:track:2Q5wSOwq6BDSu7sSVMNrtT,-291
315,Roll Away the Stone,Mott The Hoople,Mott The Hoople,Roll Away the Stone,The Hoople,9,1974,spotify:track:7cQXdm6y9KE8n1Lw2z75Ey,-315
215,Rosalita (Come Out Tonight),Bruce Springsteen,Bruce Springsteen,Rosalita (Come Out Tonight),"The Wild, the Innocent & The E Street Shuffle",6,1973-09-11,spotify:track:4Z80C8NlDd1AO4axf1O3n0,-215
327,Roxanne,The Police,The Police,Roxanne,Outlandos D'Amour (Remastered 2003),3,1978-11-02,spotify:track:3EYOJ48Et32uATr9ZmLnAo,-327
226,Run Like Hell,Pink Floyd,Pink Floyd,Run Like Hell,The Wall,9,1979-11-30,spotify:track:0EaLRxrtnq7Mqhdf8q9txr,-226
230,Sad Songs,The Rockets,The Rockets,Sad Songs,No Ballads,7,1979,spotify:track:6HiJYRfb7COTBAeUvmOge7,-230
10,Saints,The Flashbulb,The Flashbulb,Saints,Piety of Ashes,4,2017-09-01,spotify:track:2TdJAG0Xowlqtp1pXfaRZ9,-10
175,Samson and Delilah - 2014 Remaster,Grateful Dead,Grateful Dead,Samson and Delilah - 2014 Remaster,Terrapin Station (2014 Remaster),4,1977,spotify:track:1r4TpmnDEOEW7HCcCVoErG,-175
359,Saucy Sailor - 2009 Remaster,Steeleye Span,Steeleye Span,Saucy Sailor - 2009 Remaster,Below the Salt (2009 Remaster),9,1972-10-14,spotify:track:0FTlmN2tsu9jYX79dkVf3V,-359
85,Say Goodbye to Hollywood,Billy Joel,Billy Joel,Say Goodbye to Hollywood,Turnstiles,1,1976-05-19,spotify:track:3YNFRvI0WnbvFdxUCQiKjR,-85
139,Search & Destroy,The Dictators,The Dictators,Search & Destroy,Manifest Destiny,9,1977,spotify:track:6M9hO0vCcNQEzSKfbT9b50,-139
17,Searchin' for a Rainbow,The Marshall Tucker Band,The Marshall Tucker Band,Searchin' for a Rainbow,Greatest Hits,7,2011-01-01,spotify:track:5zS2DXR0XKNsVQSCHGEhx2,-17
6,Sex and Drugs and Rock 'n' Roll - Live,Ian Dury,Ian Dury,Sex and Drugs and Rock 'n' Roll - Live,"Live At Rockpalast (WDR Studio L, Cologne, 21.02.1978)",1,2012-07-27,spotify:track:0VmTayc6Xw6YujsNXLWWJ2,-6
23,Shadow Play,Rory Gallagher,Rory Gallagher,Shadow Play,Photo Finish (Remastered 2017),6,1978-10-01,spotify:track:15PTVLJS4Kczhnwl0FWFsh,-23
25,Shakedown Cruise,Jay Ferguson,Jay Ferguson,Shakedown Cruise,Real Life Ain't This Way,1,2005-07-26,spotify:track:4pNJhFtUGs7UQL61NiPP31,-25
8,Shoo Be Doo,The Cars,The Cars,Shoo Be Doo,Candy-O,5,1979,spotify:track:4b352js1XPPKfsA6Qxy6fb,-8
260,Sidewalk Cafe - 2015 Remaster,Todd Rundgren,Todd Rundgren,Sidewalk Cafe - 2015 Remaster,Todd,12,1974,spotify:track:0QtGE05BId1adMxjxWetT8,-260
NA,silver lady,intergalactic turing band,NA,NA,NA,NA,NA,NA,NA
366,Simple Visions,Strawbs,Strawbs,Simple Visions,Alive In America,5,2007,spotify:track:1qkGNf0lOmYrmVBQE83dGq,-366
235,"Sing It, Shout It",Starz,Starz,"Sing It, Shout It",Violation (Expanded Edition),3,1977-05-01,spotify:track:6SdveBDFBgKRRtgpWwee1W,-235
142,Sky Pilot,Eric Burdon & the Animals,Eric Burdon & the Animals,Sky Pilot,The Twain Shall Meet,6,1968-01-01,spotify:track:1YlFODzWlgk4EFqlt4PkvB,-142
374,Slow Motion,Blondie,Blondie,Slow Motion,Eat To The Beat,8,1979-09-28,spotify:track:1J8PgePsTmVm3TAuYnblw6,-374
188,Smokin' in the Boy's Room,Brownsville Station,Brownsville Station,Smokin' in the Boy's Room,Yeah! (US Internet Release),10,1973,spotify:track:1AIGp3gpj1NXJvh3engmUQ,-188
423,So Afraid - Digitally Remastered 2001,The Outlaws,The Outlaws,So Afraid - Digitally Remastered 2001,Hurry Sundown,3,1977,spotify:track:2kBJJ4kdTdnPh5XtlithOD,NA
420,Some Other Time,The Alan Parsons Project,The Alan Parsons Project,Some Other Time,I Robot (Legacy Edition),3,1977-06-01,spotify:track:6YiSW7FjJw36A3pZ7LzMiV,-420
316,Something About You,Boston,Boston,Something About You,Boston,7,1976,spotify:track:1KxNmUInjFsoDFrLaTtpLZ,-316
246,Space Invader - 2006 Remaster,Pretenders,Pretenders,Space Invader - 2006 Remaster,Pretenders,5,1980-01-11,spotify:track:5DowQfDc9HNQsEqBsjIEOR,-246
84,Spaced,Aerosmith,Aerosmith,Spaced,Get Your Wings,3,1974-03-15,spotify:track:7uH4Cj39mhUc907ds3OmZF,-84
NA,spacey romance,no dice,NA,NA,NA,NA,NA,NA,NA
432,"Starship Trooper: a. Life Seeker, b. Disillusion, c. Würm",Yes,Yes,"Starship Trooper: a. Life Seeker, b. Disillusion, c. Würm",The Yes Album (Deluxe Edition),3,1971-02-19,spotify:track:1K75F5lMyhGFqbM8HwWSpS,-432
233,Stay Awhile,Rachel Sweet,Rachel Sweet,Stay Awhile,Fool Around,5,1978-10-06,spotify:track:6latcWpAyrlTwhs2RHsYls,-233
13,Stay in Time - LP & Single Version,Off Broadway,Off Broadway,Stay in Time - LP & Single Version,On,1,1980-01-07,spotify:track:2lHmJewRJLHz9ST1J5Lzcj,-13
352,Stay With Me,The Dictators,The Dictators,Stay With Me,Bloodbrothers,5,2018-07-02,spotify:track:3UgiXDauVuj9HZKzFY8TBL,-352
144,Steppin' Out,The Dictators,The Dictators,Steppin' Out,Manifest Destiny,6,1977,spotify:track:0hkXnF5KhZoviUpQzomOJv,-144
330,Still...You Turn Me On - 2014 Remastered Version,"Emerson, Lake & Palmer","Emerson, Lake & Palmer",Still...You Turn Me On - 2014 Remastered Version,The Anthology,21,2016-07-29,spotify:track:5RhGCgIZpVn4yP3ixrcjff,-330
204,Stop Your Sobbing,Pretenders,Pretenders,Stop Your Sobbing,Soft Rock Alternative,18,2020-07-31,spotify:track:2VDwggNBGtC7rbRWWfyrqe,-204
313,Suffragette City - 2012 Remaster,David Bowie,David Bowie,Suffragette City - 2012 Remaster,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),10,1972-06-06,spotify:track:3YZa4IzxK2UtEKTvdTgsi8,-313
NA,Sugar & Spice,Cryan' Shames,Cryan' Shames,Sugar & Spice,Sugar & Spice (A Collection),1,1992-07-14,spotify:track:3oc2dcOFq4wCuuHhfCoyTg,NA
331,Suite Madame Blue,Styx,Styx,Suite Madame Blue,Greatest Hits,13,1995-01-01,spotify:track:0RTNuBiDbHMCuUvt4FK4hR,-331
92,Sunday Will Never Be The Same,Spanky & Our Gang,Spanky & Our Gang,Sunday Will Never Be The Same,Spanky & Our Gang,4,1967-01-01,spotify:track:42ccaJliexMY66rWpnaGId,-92
166,Sure the Boy Was Green,Horslips,Horslips,Sure the Boy Was Green,Aliens (Bonus Tracks Version),4,2009-12-04,spotify:track:5xkUCucfOfuFwynSVi3eM4,-166
71,Surf City - Remastered 1990/Stereo Remix,Jan & Dean,Jan & Dean,Surf City - Remastered 1990/Stereo Remix,Surf City: The Best Of Jan & Dean,6,1990-01-01,spotify:track:4ZzXPeOfMXk0iKNQGdlzDq,-71
47,Surrender,The J. Geils Band,The J. Geils Band,Surrender,Monkey Island,1,1977-06-09,spotify:track:4dnqrq79RHIb6Ek19nfeRN,-47
NA,T.N.T.,AC/DC,AC/DC,T.N.T.,High Voltage,5,1976-05-14,spotify:track:7LRMbd3LEoV5wZJvXT1Lwb,NA
314,Take It Inside - 2016 Remaster,Southside Johnny And The Asbury Jukes,Southside Johnny And The Asbury Jukes,Take It Inside - 2016 Remaster,Hearts of Stone (Remastered),5,1978-01-01,spotify:track:5v2Qtw3EThbJJGPSF8J5U4,-314
251,Takin' You Down,The J. Geils Band,The J. Geils Band,Takin' You Down,Love Stinks,3,1980,spotify:track:3jB4QwXDuF4K88L2ZmBo1c,-251
191,Taking It To Detroit,Good Rats,Good Rats,Taking It To Detroit,From Rats To Riches,1,1978-04-04,spotify:track:7kYCYu400q0mGtBqb5lXRq,-191
256,Talk To Me,Southside Johnny And The Asbury Jukes,Southside Johnny And The Asbury Jukes,Talk To Me,Havin' A Party With Southside Johnny,3,1976,spotify:track:56c5t4CXg54TjmiGR6ptfL,-256
95,Teenage Love Affair,Rick Derringer,Rick Derringer,Teenage Love Affair,All American Boy (Expanded Edition),8,1973-10-19,spotify:track:4zDb8AsEASOU8yobYNIixJ,-95
76,Telecide,The Tubes,The Tubes,Telecide,Remote Control,11,1979-01-01,spotify:track:4eM6IO29P0oA6h7CWD642z,-76
117,Temptation Eyes - Original,The Grass Roots,The Grass Roots,Temptation Eyes - Original,Temptation Eyes,6,1994-01-01,spotify:track:6KYEtZi2zMlIULXzca9mjp,-117
63,Ten Feet Tall - 2001 Digital Remaster,XTC,XTC,Ten Feet Tall - 2001 Digital Remaster,Drums And Wires,5,1979-08-17,spotify:track:7EREJweyXYJsVO7mGpYV9J,-63
NA,That Smell,Lynyrd Skynyrd,Lynyrd Skynyrd,That Smell,Street Survivors,2,1977-10-17,spotify:track:52DKGPMQ21DauCR19pQ0BK,NA
197,The Dean And I,10cc,10cc,The Dean And I,10cc,4,1973,spotify:track:4CH6ZxpsBtctgxmHy10T6q,-197
2,The Golden Age of Rock 'n' Roll,Mott The Hoople,Mott The Hoople,The Golden Age of Rock 'n' Roll,The Hoople,1,1974,spotify:track:2M9aZcP4xcDiEvEChmHTsx,-2
361,The Ikon (Segments) [Live 1973],Todd Rundgren,Todd Rundgren,The Ikon (Segments) [Live 1973],Box O' Todd (Live),38,2016-03-18,spotify:track:1voQshCnnA1brT6ITgF4s0,-361
79,The Jungle Line,Joni Mitchell,Joni Mitchell,The Jungle Line,The Hissing of Summer Lawns,2,1975-11-01,spotify:track:6C5xDvn42YYdohvSEjsoP2,-79
146,The Logical Song - Remastered 2010,Supertramp,Supertramp,The Logical Song - Remastered 2010,Breakfast In America (Deluxe Edition),2,1979-03-29,spotify:track:6mHOcVtsHLMuesJkswc0GZ,-146
205,The Logical Song - Remastered 2010,Supertramp,Supertramp,The Logical Song - Remastered 2010,Breakfast In America (Deluxe Edition),2,1979-03-29,spotify:track:6mHOcVtsHLMuesJkswc0GZ,-205
222,The Only One of You,Urban Verbs,Urban Verbs,The Only One of You,Urban Verbs,6,1980,spotify:track:5CRS2cQPg84RAkxU52wd7e,-222
NA,The Plastic Age,The Buggles,The Buggles,The Plastic Age,The Age Of Plastic,1,1980-01-10,spotify:track:5fmPJfCYIJfyWwRb8cfgYQ,NA
258,The Power and the Glory,Horslips,Horslips,The Power and the Glory,The Book of Invasions (Bonus Tracks Version),4,2009-08-14,spotify:track:2PWeg8K7qGnt340yoDo7vH,-258
195,The Purple Speed Queen,Curved Air,Curved Air,The Purple Speed Queen,The Best of Curved Air,8,1976-11-22,spotify:track:2AxjUfxGMkFb5TthWyHboJ,-195
156,The Story In Your Eyes,The Moody Blues,The Moody Blues,The Story In Your Eyes,Every Good Boy Deserves Favour,2,1971-07-23,spotify:track:3kcaix8VptngsWoYDTqEN2,-156
NA,the truth comes out,desmond child and rouge,NA,NA,NA,NA,NA,NA,NA
273,The Vanilla Queen,Golden Earring,Golden Earring,The Vanilla Queen,Moontan,6,1973,spotify:track:5cpKDL7ArW8F2JtUk0wuQM,-273
227,The Vigil,Blue Öyster Cult,Blue Öyster Cult,The Vigil,Mirrors,6,1979,spotify:track:67HDsZrr3273j4Sv9bxFxZ,-227
319,The Wall Street Shuffle,10cc,10cc,The Wall Street Shuffle,The Complete UK Recordings,19,2004-01-01,spotify:track:3HyZGwZAq9oQJQBzSyjs7Q,-319
329,"Theme From ""The Warriors"" - From ""The Warriors"" Soundtrack",Barry Vorzon,Barry Vorzon,"Theme From ""The Warriors"" - From ""The Warriors"" Soundtrack",The Warriors Original Motion Picture Soundtrack,1,2005-01-01,spotify:track:3DRcy1faUJgUNk0eNs7GKU,-329
NA,There's No Surf in Cleveland,The Euclid Beach Band,The Euclid Beach Band,There's No Surf in Cleveland,Euclid Beach Band,5,1979-11-05,spotify:track:7d8rUQISXtGAesdgkMfRB4,NA
326,Things I Never Say,The Headboys,The Headboys,Things I Never Say,The Lost Album,4,2013-12-01,spotify:track:7emFHLsEtgZtf8TB9FKpQj,-326
351,Third Time Lucky (First Time I Was A Fool),Foghat,Foghat,Third Time Lucky (First Time I Was A Fool),Boogie Motel,2,1979,spotify:track:2GrXeR0yhjkyXTp0alMF2u,-351
276,Thrash,Cowboys International,Cowboys International,Thrash,The Original Sin,2,1979-01-01,spotify:track:1EuvkEmshTrFvQRlkQbDRv,-276
24,Thunder Island,Jay Ferguson,Jay Ferguson,Thunder Island,Thunder Island,1,1978,spotify:track:3FkQN4NyCFlfn7fWzBkWCj,-24
350,Thunder Road,Bruce Springsteen,Bruce Springsteen,Thunder Road,Born To Run,1,1975-08-25,spotify:track:56lhDZNQ5J47aog6mGKeGk,-350
421,Time Bomb,Lake,Lake,Time Bomb,Lake,3,1976,spotify:track:7yo32JF04IdMMoj6kMIa2U,-421
377,Tomorrow Night,Shoes,Shoes,Tomorrow Night,35 Years: The Definitive Shoes Collection 1977-2012,1,2012,spotify:track:6vFbNeAZzW0BBJBhlasr6w,-377
140,Too Hot to Handle - 2008 Remaster,UFO,UFO,Too Hot to Handle - 2008 Remaster,Lights Out (2008 Remaster),1,1977-01-01,spotify:track:6spqbkDz0sA29d8CA358F1,-140
309,Too Late,Shoes Turned Up,Shoes Turned Up,Too Late,Mommy,17,2019-07-29,spotify:track:7xVTuxWSVQmG1gRlFq61Xl,-309
184,Touch Me,The Doors,The Doors,Touch Me,The Soft Parade,2,1969-07-21,spotify:track:4BVE5tIIpYabZcYCbephNW,-184
180,Train in Vain (Stand by Me) - Remastered,The Clash,The Clash,Train in Vain (Stand by Me) - Remastered,London Calling (Remastered),19,1979,spotify:track:6ITuEsxEy2qPhqMowdDAeI,-180
127,Trapped Again,Southside Johnny And The Asbury Jukes,Southside Johnny And The Asbury Jukes,Trapped Again,Havin' A Party With Southside Johnny,6,1976,spotify:track:3krl7sINykINxFRBkt05HN,-127
51,Trouble Boys,Dave Edmunds,Dave Edmunds,Trouble Boys,Trax on Wax 4,1,2020-05-29,spotify:track:2wSQ3R8BBAG2lB16Wnh3Cg,-51
50,Turn It on Again,Genesis,Genesis,Turn It on Again,Duke,7,1980-03-28,spotify:track:5KXTDunEgNVBnuSBDzsm6x,-50
NA,TV,The Flying Lizards,The Flying Lizards,TV,The Flying Lizards,3,1979,spotify:track:03x6BSem2COLMnJ1t4rlpl,NA
NA,TV - Remastered,Dwight Twilley Band,Dwight Twilley Band,TV - Remastered,Sincerely,7,2011-01-01,spotify:track:3UnkUMqpKZoxOqTf30UHe8,NA
107,TV Is King,The Tubes,The Tubes,TV Is King,Remote Control,2,1979-01-01,spotify:track:7oVnpwt1Lyrt6wIMa3nppK,-107
417,Under My Wheels,Alice Cooper,Alice Cooper,Under My Wheels,Killer,1,1971,spotify:track:6TPMFSJFmyIohTM5El90Po,-417
224,Video Killed The Radio Star,The Buggles,The Buggles,Video Killed The Radio Star,The Age Of Plastic,2,1980-01-10,spotify:track:6t1FIJlZWTQfIZhsGjaulM,-224
41,Waiting In Vain,Bob Marley & The Wailers,Bob Marley & The Wailers,Waiting In Vain,Exodus (Deluxe Edition),7,1977-01-03,spotify:track:4Gq2ydMKhDZmctzkmk2bYo,-41
NA,wake nicodemus,tim curry,NA,NA,NA,NA,NA,NA,NA
294,Wake Up and Make Love With Me - Live,Ian Dury,Ian Dury,Wake Up and Make Love With Me - Live,"Live At Rockpalast (WDR Studio L, Cologne, 21.02.1978)",3,2012-07-27,spotify:track:4cWL3kBkJz9zqCnWK0QFyh,-294
242,Walking On The Moon,The Police,The Police,Walking On The Moon,Reggatta De Blanc (Remastered 2003),6,1979-10-02,spotify:track:62uLNJgVZaFiEiKV4LpoYJ,-242
NA,War Baby Son of Zorro,Daryl Hall & John Oates,Daryl Hall & John Oates,War Baby Son of Zorro,War Babies,6,1974,spotify:track:69bMk8sKwq1bxa4lEnuLyT,NA
344,Waste a Little Time On Me - Live,Michael Stanley Band,Michael Stanley Band,Waste a Little Time On Me - Live,Stagepass,8,1977,spotify:track:2hzZoK3DH7HMp01mXq32VZ,-344
NA,We Are Crazy,Jean Yves Labat,Jean Yves Labat,We Are Crazy,Smokin' In The Boys Room - 1973 Rock,22,2018-06-15,spotify:track:2b8zoUGtjS7HooTAa31ZaX,NA
135,Welcome To The Working Week,Elvis Costello,Elvis Costello,Welcome To The Working Week,My Aim Is True,1,1977-07-22,spotify:track:39rkLB2TEENIvhwAlRC5ae,-135
193,What I Like About You,The Romantics,The Romantics,What I Like About You,What I Like About You (And Other Romantic Hits),1,1990,spotify:track:6NdcSEhpGGAYXNnnhGS2s6,-193
249,Wheel in the Sky,Journey,Journey,Wheel in the Sky,Infinity,6,1978,spotify:track:215wUTQQUo2PElJFEFoB0d,-249
241,When I Look In Your Eyes,The Romantics,The Romantics,When I Look In Your Eyes,The Romantics,1,1980,spotify:track:200etNpz0AiL62lD6xzD8u,-241
NA,When I Was Young,Jane Aire & The Belvederes,Jane Aire & The Belvederes,When I Was Young,"Soul Jazz Records Presents Punk 45: Burn, Rubber City, Burn - Akron, Ohio: Punk and the Decline of the Mid-West 1975-80",11,2015-02-10,spotify:track:2YMCBVQsABudlxQGw9zSxJ,NA
434,When the Machines Rock,Gary Numan / Tubeway Army,Gary Numan / Tubeway Army,When the Machines Rock,Replicas Redux,9,1979,spotify:track:2eDrWAh5GXIDWhKIGedgMc,-434
365,When You Gonna Wake Up,Bob Dylan,Bob Dylan,When You Gonna Wake Up,Slow Train Coming,7,1979-08-20,spotify:track:4CiCn1uQ4g2nDcunbk2mw7,-365
102,Where Have You Been All My Life,Fotomaker,Fotomaker,Where Have You Been All My Life,Fotomaker,1,1978,spotify:track:0O6hLhebUQGNFeCI8CpRyF,-102
112,Where Were You,Journey,Journey,Where Were You,Departure,6,1980,spotify:track:5nrgyqDkpzvs9iM9cnycc2,-112
414,White Russia,Nitty Gritty Dirt Band,Nitty Gritty Dirt Band,White Russia,Dirt Band,7,1978-01-01,spotify:track:7gwEi8hZqVG0ffKtwx1OQI,-414
155,Who's to Blame,Michael Stanley Band,Michael Stanley Band,Who's to Blame,Cabin Fever,6,1998-04-01,spotify:track:27GMJ4V36GEBqtH5RnV6JS,-155
56,Wild Sanctuary - Live,Michael Stanley Band,Michael Stanley Band,Wild Sanctuary - Live,Stagepass,11,1977,spotify:track:1H5n7uHzHrivs0gMP5NeI9,-56
54,Wishing Well,Free,Free,Wishing Well,Heartbreaker,1,1973-01-01,spotify:track:6TSBIfIbxuPDi1uqMqy1iV,-54
126,Without Love,Southside Johnny And The Asbury Jukes,Southside Johnny And The Asbury Jukes,Without Love,Havin' A Party With Southside Johnny,7,1976,spotify:track:0LjE172lQb3ewH9f7AQHAb,-126
145,Xanadu,Rush,Rush,Xanadu,A Farewell To Kings,2,1977-09-01,spotify:track:5q7KiSN7znIONR76LAqm7k,-145
347,You Keep Me Hanging On - Light Echo Remix,The Supremes,The Supremes,You Keep Me Hanging On - Light Echo Remix,Remix The Classics (Vol. 2),5,2016-01-29,spotify:track:6ESGTTiBkHRiYPiIufJk97,-347
209,You Make Loving Fun - 2004 Remaster,Fleetwood Mac,Fleetwood Mac,You Make Loving Fun - 2004 Remaster,Rumours (Super Deluxe),8,1977-02-04,spotify:track:55mQhobuwtY7lfLAXylg1k,-209
NA,young girls at market,bizzaros,NA,NA,NA,NA,NA,NA,NA
328,Young Lust,Pink Floyd,Pink Floyd,Young Lust,The Wall,9,1979-11-30,spotify:track:3xGJuHvSxFJxxYlHj5BIoT,-328
385,Your Number Or Your Name,The Knack,The Knack,Your Number Or Your Name,Get The Knack,2,1979-01-01,spotify:track:0LVwxuIKtNDPVviwqALLmC,-385
282,Your Very Eyes,Shoes,Shoes,Your Very Eyes,Present Tense,4,1979-09-15,spotify:track:0MFuGwMBdNWkAnmZ1Alis7,-282
129,Youth Nabbed As Sniper - Remastered,Blondie,Blondie,Youth Nabbed As Sniper - Remastered,Plastic Letters,4,1978-02-01,spotify:track:2qOIGYRyK8956qxBCx6Jeu,-129
NA,5-7-0-5,City Boy,City Boy,5-7-0-5,Book Early,1,1978,spotify:track:5fjNaIxNBwvtTh7JsELIfv,NA
NA,Too Late,Shoes,Shoes,Too Late,35 Years: The Definitive Shoes Collection 1977-2012,5,2012,spotify:track:4ExfBQfuuU0v07p428cmLD,NA
324,Spirit of Radio,Rush,Rush,The Spirit Of Radio,Permanent Waves,1,1980-01-01,spotify:track:4e9hUiLsN4mx61ARosFi7p,NA
400,Girl,The Records,The Records,Girl In Golden Disc,"Smashes, Crashes And Near Misses",2,1988-01-01,spotify:track:2XhrJbyxGfQX7ZUtTGGAPO,NA
396,The Vultures Fly High,Renaissance,Renaissance,The Vultures Fly High,Scheherazade and Other Stories,2,1975,spotify:track:5X8GKUraZnZjtbTrnE5fi8,NA
67,Friday On My Mind,The Easybeats,The Easybeats,Friday On My Mind,Easy,18,1965-01-01,spotify:track:2CT08rpgdut8qQs7IAzMGi,NA
287,Only You Can Rock Me - 2008 Remaster,UFO,UFO,Only You Can Rock Me - 2008 Remaster,Obsession (2008 Remaster),1,1978-07-15,spotify:track:2qzQZ23b0SXFwz812P83hn,NA
